round,accuracy,precision,recall,f1
1,0.20666666666666667,0.04271111111111111,0.20666666666666667,0.07079189686924493
2,0.20666666666666667,0.04271111111111111,0.20666666666666667,0.07079189686924493
3,0.20466666666666666,0.0424108734402852,0.20466666666666666,0.07026208933185678
4,0.20533333333333334,0.08256098186246234,0.20533333333333334,0.07400319102084985
5,0.20466666666666666,0.04252457551385165,0.20466666666666666,0.07041805401405846
